file,filter,mean,std,min,25%,50%,75%,max
PGC0003563_g.fits,g,9.83242,199.10428,-19.052864,-3.001047134399414,0.19487974047660828,3.9962644577026367,22185.328
PGC0003566_g.fits,g,3.9428282,12.430276,-14.250187,-1.1874452829360962,1.8657668828964233,5.687974452972412,945.5824
PGC0003569_g.fits,g,2.5681918,70.08967,-17.687407,-2.5973048210144043,0.30511000752449036,3.290844202041626,7774.214
PGC0003584_g.fits,g,5.664695,61.432,-16.134506,-1.719340205192566,1.2631452083587646,4.999320983886719,7051.9478
PGC0003620_g.fits,g,8.215963,35.509193,-15.290583,-1.3621517419815063,1.8509620428085327,6.183422088623047,1934.1335
PGC0001221_g.fits,g,20.176306,492.8141,-18.516804,-1.7542345523834229,1.7243123054504395,6.11006498336792,44646.996
PGC0001224_g.fits,g,7.5656433,40.257076,-20.380354,-2.0770833492279053,1.3891735076904297,5.505181312561035,1748.1528
PGC0001237_g.fits,g,2.5804932,16.403534,-19.854692,-2.723322868347168,0.35449692606925964,3.7101173400878906,685.15344
PGC0001293_g.fits,g,10.074386,206.43462,-16.443659,-1.674231767654419,1.377515196800232,4.723898410797119,15094.439
PGC0001306_g.fits,g,7.5985847,41.84646,-18.266201,-1.1157398223876953,2.0839946269989014,6.480202674865723,2447.3027
PGC0001309_g.fits,g,18.715248,66.01639,-14.110583,2.3389158248901367,6.787456512451172,18.164165496826172,2500.1997
PGC0001478_g.fits,g,3.5071826,30.531593,-21.238274,-1.8751015663146973,1.0702303647994995,4.784017562866211,3490.6304
PGC0001523_g.fits,g,6.0903625,42.89476,-10.003874,-0.22488050162792206,1.9233874082565308,4.53707218170166,6731.3467
PGC0001621_g.fits,g,2.0182114,12.868666,-16.196194,-1.7095329761505127,0.9829695224761963,3.8799521923065186,1311.1531
PGC0001713_g.fits,g,1.7099748,9.188601,-16.3652,-2.3353240489959717,0.41219866275787354,3.3340635299682617,513.7744
PGC0001747_g.fits,g,2.0329747,24.004326,-16.589039,-1.9937463998794556,0.6266554594039917,3.4551823139190674,3339.228
PGC0001781_g.fits,g,1.4985008,97.89928,-9.882916,-1.599357008934021,-0.09359335899353027,1.5000218152999878,13319.724
PGC0001805_g.fits,g,6.640763,296.41876,-27.851929,-4.566831111907959,-0.3205650746822357,4.288928031921387,35400.09
PGC0001841_g.fits,g,4.321501,23.495972,-13.70849,-1.3743541240692139,0.9057074785232544,3.4134280681610107,797.01025
PGC0001862_g.fits,g,5.0207853,104.338875,-17.202621,-2.2255918979644775,0.7061085104942322,3.884990692138672,13034.674
PGC0001909_g.fits,g,3.5414429,23.061989,-11.269261,-1.8090263605117798,0.19643475115299225,2.446497917175293,883.7158
PGC0001932_g.fits,g,6.241362,101.65452,-10.566986,-1.648931860923767,0.3855104148387909,2.71065092086792,7895.5107
PGC0001933_g.fits,g,7.2477045,214.24637,-12.022639,-1.4864239692687988,0.6113097071647644,2.845562696456909,17317.705
PGC0001936_g.fits,g,0.7488443,6.464453,-16.260906,-2.5610556602478027,0.2692219614982605,3.2306809425354004,384.03293
PGC0002016_g.fits,g,1.9570128,13.776326,-27.809013,-2.949737310409546,1.3351857662200928,5.756550312042236,1498.001
PGC0002035_g.fits,g,3.003005,54.46728,-5.953039,-1.6528940200805664,-0.8178542256355286,0.18439097702503204,8230.186
PGC0002076_g.fits,g,4.906919,31.880787,-9.116849,-0.5361821055412292,1.4004836082458496,3.8744094371795654,2124.6558
PGC0002149_g.fits,g,5.581301,36.607704,-9.309292,-0.12025831639766693,1.926374077796936,4.606537342071533,3275.071
PGC0002151_g.fits,g,2.7441046,13.99856,-18.085524,-3.3188390731811523,0.009359940886497498,3.9174039363861084,345.8587
PGC0002182_g.fits,g,5.707636,152.3377,-8.746914,-0.7147592902183533,1.2222509384155273,3.6962780952453613,27745.07
PGC0002269_g.fits,g,7.5781384,247.86713,-9.437115,-0.268118292093277,1.6785260438919067,4.091146945953369,34999.637
PGC0002288_g.fits,g,3.190574,32.501255,-11.610402,-1.1998778581619263,0.8759042620658875,3.1833930015563965,1926.9764
